lab,grp,metric,year,v,pct
ECPC 2015*,Higher resp.,Gross CO₂,2035,17770.91594496161,-40.49625957327081
ECPC 2015*,Higher resp.,Net CO₂,2035,16517.302482515635,-43.810996850473984
ECPC 2015*,Lower resp.,Gross CO₂,2035,12109.878639252382,-5.558078072416217
ECPC 2015*,Lower resp.,Net CO₂,2035,10802.262538948104,-12.540144974679823
ECPC 2015*,World,Gross CO₂,2035,30564.37508441179,-29.471161650932963
ECPC 2015*,World,Net CO₂,2035,28087.69252089292,-33.74810006597109
ECPC 2025,Higher resp.,Gross CO₂,2035,18508.593780166175,-38.02623548669529
ECPC 2025,Higher resp.,Net CO₂,2035,17278.29123630864,-41.22224487182059
ECPC 2025,Lower resp.,Gross CO₂,2035,11767.950142889576,-8.224693099724679
ECPC 2025,Lower resp.,Net CO₂,2035,10457.407839963445,-15.332239859362717
ECPC 2025,World,Gross CO₂,2035,30959.54042185678,-28.55929768745129
ECPC 2025,World,Net CO₂,2035,28501.66531197957,-32.771640931420166
Source,Higher resp.,Gross CO₂,2035,20694.88083278814,-30.705720456381403
Source,Higher resp.,Net CO₂,2035,19471.32778213078,-33.76191425726262
Source,Lower resp.,Gross CO₂,2035,10873.299291563555,-15.201851861622451
Source,Lower resp.,Net CO₂,2035,9541.839091289865,-22.745085986365165
Source,World,Gross CO₂,2035,32226.10529169823,-25.6366353160811
Source,World,Net CO₂,2035,29763.04827547979,-29.79635138728468
CAPC 1990,Higher resp.,Gross CO₂,2040,12953.459298991607,-56.6269244566469
CAPC 1990,Higher resp.,Net CO₂,2040,11251.223736377588,-61.725284947190914
CAPC 1990,Lower resp.,Gross CO₂,2040,12215.914806623092,-4.731128460562539
CAPC 1990,Lower resp.,Net CO₂,2040,10435.855790480935,-15.506734703979074
CAPC 1990,World,Gross CO₂,2040,25823.11698663197,-40.41185404284331
CAPC 1990,World,Net CO₂,2040,22405.41721832072,-47.151178103214185
CAPC 2015,Higher resp.,Gross CO₂,2040,11155.196246027668,-62.648188540836166
CAPC 2015,Higher resp.,Net CO₂,2040,9408.806588349935,-67.99286907861016
CAPC 2015,Lower resp.,Gross CO₂,2040,12444.523633250068,-2.9482652627200956
CAPC 2015,Lower resp.,Net CO₂,2040,10620.017306533748,-14.015682302952115
CAPC 2015,World,Gross CO₂,2040,24260.27668607548,-44.018186926108186
CAPC 2015,World,Net CO₂,2040,20747.73002847306,-51.0612510200982
CAPC 2025,Higher resp.,Gross CO₂,2040,12829.345669874847,-57.042503776995716
CAPC 2025,Higher resp.,Net CO₂,2040,11140.351287713318,-62.10245382048526
CAPC 2025,Lower resp.,Gross CO₂,2040,11137.541929196495,-13.141089462866518
CAPC 2025,Lower resp.,Net CO₂,2040,9334.17599590076,-24.426417480703112
CAPC 2025,World,Gross CO₂,2040,24627.33588226937,-43.17117930231742
CAPC 2025,World,Net CO₂,2040,21194.71172975722,-50.00693205374692
ECPC 1990,Higher resp.,Gross CO₂,2040,11885.251051881361,-60.20368923650399
ECPC 1990,Higher resp.,Net CO₂,2040,10173.144091346046,-65.39272523498852
ECPC 1990,Lower resp.,Gross CO₂,2040,12965.221157235967,1.1125248057093806
ECPC 1990,Lower resp.,Net CO₂,2040,11214.757615427552,-9.20040392899848
ECPC 1990,World,Gross CO₂,2040,25514.51345902837,-41.123972260611374
ECPC 1990,World,Net CO₂,2040,22111.37377428773,-47.844753654706714
ECPC 2015,Higher resp.,Gross CO₂,2040,14902.93668920532,-50.099337642645736
ECPC 2015,Higher resp.,Net CO₂,2040,13250.23039962939,-54.92501039774329
ECPC 2015,Lower resp.,Gross CO₂,2040,11636.873760609655,-9.246925099780023
ECPC 2015,Lower resp.,Net CO₂,2040,9851.18312913837,-20.240500988025367
