lab,state,quantity,x
ECPC 2015*,Unlimited (U),PE Gas (EJ/yr),149.5727098958155
ECPC 2015*,Unlimited (U),PE Oil (EJ/yr),80.76170845192638
ECPC 1990,Unlimited (U),Elec. share (%),40.04183925406677
ECPC 2015,Unlimited (U),Elec. share (%),40.05761272315581
ECPC 2025,Unlimited (U),Elec. share (%),40.032809275197906
CAPC 1990,Unlimited (U),Elec. share (%),40.0175493707019
CAPC 2015,Unlimited (U),Elec. share (%),40.02130590156989
CAPC 2025,Unlimited (U),Elec. share (%),40.02734414856071
ECPC 2015*,Unlimited (U),Elec. share (%),40.04146363915462
CAPC 1990,Lowest-f. (L),"Gross CO₂ (Gt, 2020–2100)",1455.2383764284195
CAPC 1990,Lowest-f. (L),"Net CO₂ (Gt, 2020–2100)",803.8044530880868
CAPC 2015,Lowest-f. (L),"Gross CO₂ (Gt, 2020–2100)",1472.4081200155258
CAPC 2015,Lowest-f. (L),"Net CO₂ (Gt, 2020–2100)",810.0021507534838
CAPC 2025,Lowest-f. (L),"Gross CO₂ (Gt, 2020–2100)",1459.7572063548575
CAPC 2025,Lowest-f. (L),"Net CO₂ (Gt, 2020–2100)",807.9618114327374
ECPC 1990,Lowest-f. (L),"Gross CO₂ (Gt, 2020–2100)",1450.8976711037199
ECPC 1990,Lowest-f. (L),"Net CO₂ (Gt, 2020–2100)",801.4384332710075
ECPC 2015,Lowest-f. (L),"Gross CO₂ (Gt, 2020–2100)",1440.1254510529777
ECPC 2015,Lowest-f. (L),"Net CO₂ (Gt, 2020–2100)",799.1391695985793
ECPC 2015*,Lowest-f. (L),"Gross CO₂ (Gt, 2020–2100)",1442.012304316414
ECPC 2015*,Lowest-f. (L),"Net CO₂ (Gt, 2020–2100)",801.2260129773546
ECPC 2025,Lowest-f. (L),"Gross CO₂ (Gt, 2020–2100)",1440.4226794385602
ECPC 2025,Lowest-f. (L),"Net CO₂ (Gt, 2020–2100)",805.5190761964
ECPC 1990,Lowest-f. (L),PE Coal (EJ/yr),15.9226923224068
ECPC 1990,Lowest-f. (L),PE Gas (EJ/yr),118.8582840502151
ECPC 1990,Lowest-f. (L),PE Oil (EJ/yr),78.10515115084405
ECPC 2015,Lowest-f. (L),PE Coal (EJ/yr),7.42740981586048
ECPC 2015,Lowest-f. (L),PE Gas (EJ/yr),142.0688207809154
ECPC 2015,Lowest-f. (L),PE Oil (EJ/yr),79.95823143210079
ECPC 2025,Lowest-f. (L),PE Coal (EJ/yr),7.816817822682831
ECPC 2025,Lowest-f. (L),PE Gas (EJ/yr),135.9082631796537
ECPC 2025,Lowest-f. (L),PE Oil (EJ/yr),79.41332452931606
CAPC 1990,Lowest-f. (L),PE Coal (EJ/yr),19.58055414990684
CAPC 1990,Lowest-f. (L),PE Gas (EJ/yr),112.755419446806
CAPC 1990,Lowest-f. (L),PE Oil (EJ/yr),76.9796687733245
CAPC 2015,Lowest-f. (L),PE Coal (EJ/yr),22.04062948633638
CAPC 2015,Lowest-f. (L),PE Gas (EJ/yr),96.22945888558208
CAPC 2015,Lowest-f. (L),PE Oil (EJ/yr),71.61172223588487
CAPC 2025,Lowest-f. (L),PE Coal (EJ/yr),8.646152780580387
CAPC 2025,Lowest-f. (L),PE Gas (EJ/yr),117.3752175286454
CAPC 2025,Lowest-f. (L),PE Oil (EJ/yr),75.53872274136054
ECPC 2015*,Lowest-f. (L),PE Coal (EJ/yr),8.986512510233602
ECPC 2015*,Lowest-f. (L),PE Gas (EJ/yr),132.6086268380265
ECPC 2015*,Lowest-f. (L),PE Oil (EJ/yr),78.65679199085648
ECPC 1990,Lowest-f. (L),Elec. share (%),39.97911038308391
ECPC 2015,Lowest-f. (L),Elec. share (%),39.88358077874676
ECPC 2025,Lowest-f. (L),Elec. share (%),39.89715559786518
CAPC 1990,Lowest-f. (L),Elec. share (%),40.94598410296028
CAPC 2015,Lowest-f. (L),Elec. share (%),42.176176758443404
CAPC 2025,Lowest-f. (L),Elec. share (%),41.471854472164154
ECPC 2015*,Lowest-f. (L),Elec. share (%),39.792018344117395
