scenario_set,variant,SSP,budget,principle,start,tier,scope,delay,discount_rate,model
800fm_capc2025,Source scenario,SSP2,800 Gt (2C),CAPC,2025,Source scenario,All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_capc2025,U. SSP2-2C-CAPC2025,SSP2,800 Gt (2C),CAPC,2025,Unlimited (U),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_capc2025,L. SSP2-2C-CAPC2025,SSP2,800 Gt (2C),CAPC,2025,Lowest-feasible (L),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
500fm_ecpc2015,Baseline,SSP1,500 Gt (1.5C),ECPC,2015,Baseline (NoPol),All mitigation,None,5% (default),SSP_SSP1_v6.5_ES
500fm_ecpc2015,Source scenario,SSP1,500 Gt (1.5C),ECPC,2015,Source scenario,All mitigation,None,5% (default),SSP_SSP1_v6.5_ES
500fm_ecpc2015,U. SSP1-1.5C-ECPC2015,SSP1,500 Gt (1.5C),ECPC,2015,Unlimited (U),All mitigation,None,5% (default),SSP_SSP1_v6.5_ES
500fm_ecpc2015,Baseline,SSP2,500 Gt (1.5C),ECPC,2015,Baseline (NoPol),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
500fm_ecpc2015,Source scenario,SSP2,500 Gt (1.5C),ECPC,2015,Source scenario,All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
500fm_ecpc2015,U. SSP2-1.5C-ECPC2015-Delay,SSP2,500 Gt (1.5C),ECPC,2015,Unlimited (U),All mitigation,10-yr,5% (default),SSP_SSP2_v6.5_ES
500fm_ecpc2015,U. SSP2-1.5C-ECPC2015,SSP2,500 Gt (1.5C),ECPC,2015,Unlimited (U),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
500fm_ecpc2015,L. SSP2-1.5C-ECPC2015-Delay,SSP2,500 Gt (1.5C),ECPC,2015,Lowest-feasible (L),All mitigation,10-yr,5% (default),SSP_SSP2_v6.5_ES
500fm_ecpc2015,L. SSP2-1.5C-ECPC2015,SSP2,500 Gt (1.5C),ECPC,2015,Lowest-feasible (L),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
