variant,grp,dCons_uncorrected,correction,dCons,transfers,dGDP
L. SSP2-2C-ECPC2015,Higher resp.,-16.09239069409133,4.2109526917057,-11.881438002385629,-6.311804668125025,-16.783599611635438
L. SSP2-2C-ECPC2015,Lower resp.,6.9528153477788806,3.1241657248225465,10.076981072601427,6.312435848591838,16.49126491632387
L. SSP2-2C-ECPC2015,World,-9.139575346312448,7.335118416528246,-1.8044569297842017,6.311804668132082e-4,-0.29233469531156686
L. SSP2-2C-ECPC2015-CDR,Higher resp.,-42.7051479987984,4.294113146580294,-38.41103485221811,-14.79340911997192,-46.86353668501022
L. SSP2-2C-ECPC2015-CDR,Lower resp.,14.493054901095746,3.0583355392133456,17.551390440309092,14.796110594113404,29.127421212196964
L. SSP2-2C-ECPC2015-CDR,World,-28.212093097702656,7.3524486857936395,-20.859644411909017,0.0027014741414850274,-17.736115472813253
U. SSP2-2C-ECPC2015,Higher resp.,-20.457533472068143,4.226597013655834,-16.23093645841231,-14.764029155817854,-14.412960438219002
U. SSP2-2C-ECPC2015,Lower resp.,13.146266204828805,3.1069911727225303,16.253257377551336,14.765505558733434,17.33475902847445
U. SSP2-2C-ECPC2015,World,-7.311267267239337,7.333588186378364,0.022320919139026785,0.0014764029155818204,2.921798590255449
U. SSP2-2C-ECPC2015-CDR,Higher resp.,-42.87501888171551,4.294145240096626,-38.580873641618886,-14.968645861746108,-44.02012502730679
U. SSP2-2C-ECPC2015-CDR,Lower resp.,14.552782866490475,3.0568037545905042,17.60958662108098,14.971389105480062,27.35555395412399
U. SSP2-2C-ECPC2015-CDR,World,-28.322236015225037,7.35094899468713,-20.971287020537908,0.0027432437339586224,-16.6645710731828
