dr,state,grp,year,v,pct
1%,FS-Lf.Trnsf.,Higher,2060,-263.4646442552114,-100.89626110204833
1%,FS-Lf.Trnsf.,Lower,2060,2247.58480585469,-81.80256769649802
1%,FS-Lf.Trnsf.,World,2060,2502.523927510651,-94.09716676780688
5% (default),Src./FS.U.,Higher,2070,-1083.821760875138,-103.68697397167621
5% (default),Src./FS.U.,Lower,2070,-1963.0998901858234,-115.89411766070566
5% (default),Src./FS.U.,World,2070,-2560.608944975535,-106.03984138129212
5% (default),FS-Lf.Trnsf.,Higher,2070,-2990.3832622246036,-110.17276608679248
5% (default),FS-Lf.Trnsf.,Lower,2070,1015.4510340345405,-91.77846308569532
5% (default),FS-Lf.Trnsf.,World,2070,-1496.567491546546,-103.53003151186984
1%,Src./FS.U.,Higher,2070,-1017.885236311475,-103.46266933172072
1%,Src./FS.U.,Lower,2070,-1204.9428509404129,-109.75574576872916
1%,Src./FS.U.,World,2070,-1785.044244429938,-104.21047661967309
1%,FS-Lf.Trnsf.,Higher,2070,-2760.2779696569273,-109.38998772316475
1%,FS-Lf.Trnsf.,Lower,2070,93.9155548428796,-99.23961847978
1%,FS-Lf.Trnsf.,World,2070,-2219.94821188302,-105.2363072076141
5% (default),Src./FS.U.,Higher,2080,-2391.7937812288233,-108.13646831549788
5% (default),Src./FS.U.,Lower,2080,-4109.3114405436845,-133.27078762879592
5% (default),Src./FS.U.,World,2080,-6222.098185914024,-114.67638632423245
5% (default),FS-Lf.Trnsf.,Higher,2080,-4431.549485926005,-115.07536404843101
5% (default),FS-Lf.Trnsf.,Lower,2080,-1842.670007716547,-114.91906451572767
5% (default),FS-Lf.Trnsf.,World,2080,-6011.654119580086,-114.1800009691843
1%,Src./FS.U.,Higher,2080,-1644.1605501918878,-105.59314951281247
1%,Src./FS.U.,Lower,2080,-2271.8137240435576,-118.39360025114985
1%,Src./FS.U.,World,2080,-3623.20171226005,-108.54623415942406
1%,FS-Lf.Trnsf.,Higher,2080,-3567.118095539122,-112.1347181307085
1%,FS-Lf.Trnsf.,Lower,2080,-946.3975257565669,-107.66244942673382
1%,FS-Lf.Trnsf.,World,2080,-4224.811933241629,-109.96528345050103
5% (default),Src./FS.U.,Higher,2090,-3298.5064194038846,-111.22094771738955
5% (default),Src./FS.U.,Lower,2090,-4981.897519217413,-140.33562720872234
5% (default),Src./FS.U.,World,2090,-8191.240329069604,-119.32110422432982
5% (default),FS-Lf.Trnsf.,Higher,2090,-5192.300523891324,-117.66330735899805
5% (default),FS-Lf.Trnsf.,Lower,2090,-2858.689357427508,-123.14520276299284
5% (default),FS-Lf.Trnsf.,World,2090,-7971.710319166839,-118.80328738203222
1%,Src./FS.U.,Higher,2090,-2364.433406342085,-108.043393057458
1%,Src./FS.U.,Lower,2090,-3026.0362227406094,-124.5001163772893
1%,Src./FS.U.,World,2090,-5209.554614105959,-112.28804718429161
1%,FS-Lf.Trnsf.,Higher,2090,-3982.498747208951,-113.54777118641384
1%,FS-Lf.Trnsf.,Lower,2090,-982.1361326347089,-107.95180486177341
1%,FS-Lf.Trnsf.,World,2090,-4816.202074295497,-111.3602261079631
5% (default),Src./FS.U.,Higher,2100,-4821.603087290544,-116.40225886426163
5% (default),Src./FS.U.,Lower,2100,-4258.506460021174,-134.4787359384166
5% (default),Src./FS.U.,World,2100,-8983.189812669556,-121.18911662517912
5% (default),FS-Lf.Trnsf.,Higher,2100,-6534.1658540277085,-122.22810087422764
5% (default),FS-Lf.Trnsf.,Lower,2100,-2436.6542361110064,-119.72822133036705
5% (default),FS-Lf.Trnsf.,World,2100,-8881.045302268083,-120.94818306052639
1%,Src./FS.U.,Higher,2100,-2942.788211139866,-110.01085596386937
1%,Src./FS.U.,Lower,2100,-3483.2793515776493,-128.20215727985246
1%,Src./FS.U.,World,2100,-6268.440445530072,-114.78569622017763
1%,FS-Lf.Trnsf.,Higher,2100,-4698.49951849673,-115.98348183804954
1%,FS-Lf.Trnsf.,Lower,2100,-591.6801718829505,-104.79050216264032
1%,FS-Lf.Trnsf.,World,2100,-5183.164699822415,-112.22579992211155
