ssp,region,year,driver,value
SSP1,World,2080,"Urban share
(%)",88.06583166908034
SSP1,World,2090,"GDP
(tn US$)",574.6540056306748
SSP1,World,2090,"GDP/cap
(000 US$)",66.99304434141116
SSP1,World,2090,"Population
(bn)",8.57781597
SSP1,World,2090,"Urban share
(%)",90.43229844347955
SSP1,World,2100,"GDP
(tn US$)",629.2435067413218
SSP1,World,2100,"GDP/cap
(000 US$)",77.77826983225742
SSP1,World,2100,"Population
(bn)",8.090222476
SSP1,World,2100,"Urban share
(%)",92.27626107605968
SSP1,Latin Am.,2020,"GDP
(tn US$)",8.013186228099999
SSP1,Latin Am.,2020,"GDP/cap
(000 US$)",12.409192452480543
SSP1,Latin Am.,2020,"Population
(bn)",0.645745987
SSP1,Latin Am.,2020,"Urban share
(%)",81.02245360496526
SSP1,Latin Am.,2025,"GDP
(tn US$)",9.58846672668
SSP1,Latin Am.,2025,"GDP/cap
(000 US$)",14.351355452441233
SSP1,Latin Am.,2025,"Population
(bn)",0.6681227260000001
SSP1,Latin Am.,2025,"Urban share
(%)",81.90240435744585
SSP1,Latin Am.,2030,"GDP
(tn US$)",10.87078548294217
SSP1,Latin Am.,2030,"GDP/cap
(000 US$)",15.823488414690692
SSP1,Latin Am.,2030,"Population
(bn)",0.687003093
SSP1,Latin Am.,2030,"Urban share
(%)",83.68645692495738
SSP1,Latin Am.,2035,"GDP
(tn US$)",12.84455281515857
SSP1,Latin Am.,2035,"GDP/cap
(000 US$)",18.33215269421182
SSP1,Latin Am.,2035,"Population
(bn)",0.7006570929999998
SSP1,Latin Am.,2035,"Urban share
(%)",85.50273673036851
SSP1,Latin Am.,2040,"GDP
(tn US$)",14.99396756222141
SSP1,Latin Am.,2040,"GDP/cap
(000 US$)",21.13849225037275
SSP1,Latin Am.,2040,"Population
(bn)",0.709320579
SSP1,Latin Am.,2040,"Urban share
(%)",87.34090119758953
SSP1,Latin Am.,2045,"GDP
(tn US$)",17.82444849555027
SSP1,Latin Am.,2045,"GDP/cap
(000 US$)",24.95337039615008
SSP1,Latin Am.,2045,"Population
(bn)",0.7143102600000001
SSP1,Latin Am.,2045,"Urban share
(%)",88.78540316167654
SSP1,Latin Am.,2050,"GDP
(tn US$)",20.77566251582449
SSP1,Latin Am.,2050,"GDP/cap
(000 US$)",29.04107677359591
SSP1,Latin Am.,2050,"Population
(bn)",0.7153888500000001
SSP1,Latin Am.,2050,"Urban share
(%)",90.15159556649226
SSP1,Latin Am.,2055,"GDP
(tn US$)",23.91617554693242
SSP1,Latin Am.,2055,"GDP/cap
(000 US$)",33.564250642410734
SSP1,Latin Am.,2055,"Population
(bn)",0.712549069
SSP1,Latin Am.,2055,"Urban share
(%)",91.42293004745754
SSP1,Latin Am.,2060,"GDP
(tn US$)",27.11564624629149
SSP1,Latin Am.,2060,"GDP/cap
(000 US$)",38.42191987150799
SSP1,Latin Am.,2060,"Population
(bn)",0.705733767
SSP1,Latin Am.,2060,"Urban share
(%)",92.58487231730544
SSP1,Latin Am.,2070,"GDP
(tn US$)",33.67429749629421
SSP1,Latin Am.,2070,"GDP/cap
(000 US$)",49.30582285260512
SSP1,Latin Am.,2070,"Population
(bn)",0.6829679649999999
SSP1,Latin Am.,2070,"Urban share
(%)",94.54247196648382
SSP1,Latin Am.,2080,"GDP
(tn US$)",39.706785833250954
SSP1,Latin Am.,2080,"GDP/cap
(000 US$)",60.995501155825366
SSP1,Latin Am.,2080,"Population
(bn)",0.650978926
SSP1,Latin Am.,2080,"Urban share
(%)",96.01069967779571
SSP1,Latin Am.,2090,"GDP
(tn US$)",44.63371196584262
SSP1,Latin Am.,2090,"GDP/cap
(000 US$)",72.91200685370528
SSP1,Latin Am.,2090,"Population
(bn)",0.612158599
SSP1,Latin Am.,2090,"Urban share
(%)",97.05369579342297
SSP1,Latin Am.,2100,"GDP
(tn US$)",48.0620871236454
SSP1,Latin Am.,2100,"GDP/cap
(000 US$)",84.88658986815972
SSP1,Latin Am.,2100,"Population
(bn)",0.566191753
SSP1,Latin Am.,2100,"Urban share
(%)",97.76782672257501
SSP1,N. America,2020,"GDP
(tn US$)",19.967421148320003
SSP1,N. America,2020,"GDP/cap
(000 US$)",53.00675096253327
SSP1,N. America,2020,"Population
(bn)",0.376695813
SSP1,N. America,2020,"Urban share
(%)",82.69363959906822
SSP1,N. America,2025,"GDP
(tn US$)",22.74335001618
SSP1,N. America,2025,"GDP/cap
(000 US$)",59.22956724124227
SSP1,N. America,2025,"Population
(bn)",0.38398642899999996
SSP1,N. America,2025,"Urban share
(%)",83.71944530691214
SSP1,N. America,2030,"GDP
(tn US$)",24.97306837612447
SSP1,N. America,2030,"GDP/cap
(000 US$)",63.617923916254945
SSP1,N. America,2030,"Population
(bn)",0.39254767900000004
SSP1,N. America,2030,"Urban share
(%)",84.71878979797506
SSP1,N. America,2035,"GDP
(tn US$)",27.60151325166511
SSP1,N. America,2035,"GDP/cap
(000 US$)",68.87730923639671
SSP1,N. America,2035,"Population
(bn)",0.400734488
SSP1,N. America,2035,"Urban share
(%)",85.71827270233437
SSP1,N. America,2040,"GDP
(tn US$)",30.03477120181364
SSP1,N. America,2040,"GDP/cap
(000 US$)",73.54742683071375
SSP1,N. America,2040,"Population
(bn)",0.408372835
