ssp,region,year,driver,value
SSP2,World,2045,"GDP/cap
(000 US$)",26.10768564469336
SSP2,World,2045,"Population
(bn)",9.368233188
SSP2,World,2045,"Urban share
(%)",63.81075883628719
SSP2,World,2050,"GDP
(tn US$)",271.6229362709563
SSP2,World,2050,"GDP/cap
(000 US$)",28.321076044375566
SSP2,World,2050,"Population
(bn)",9.590840964000002
SSP2,World,2050,"Urban share
(%)",65.32975421244676
SSP2,World,2055,"GDP
(tn US$)",301.7558006764477
SSP2,World,2055,"GDP/cap
(000 US$)",30.881716138987102
SSP2,World,2055,"Population
(bn)",9.7713417
SSP2,World,2055,"Urban share
(%)",66.80077323557244
SSP2,World,2060,"GDP
(tn US$)",332.2132093749721
SSP2,World,2060,"GDP/cap
(000 US$)",33.51406924134154
SSP2,World,2060,"Population
(bn)",9.912649132
SSP2,World,2060,"Urban share
(%)",68.22251326864759
SSP2,World,2070,"GDP
(tn US$)",399.6772617495279
SSP2,World,2070,"GDP/cap
(000 US$)",39.626563393475145
SSP2,World,2070,"Population
(bn)",10.086094466
SSP2,World,2070,"Urban share
(%)",70.92895149489956
SSP2,World,2080,"GDP
(tn US$)",469.9513524292956
SSP2,World,2080,"GDP/cap
(000 US$)",46.39928872666022
SSP2,World,2080,"Population
(bn)",10.128417165999998
SSP2,World,2080,"Urban share
(%)",73.45364225742725
SSP2,World,2090,"GDP
(tn US$)",543.3895306468455
SSP2,World,2090,"GDP/cap
(000 US$)",54.057267347637165
SSP2,World,2090,"Population
(bn)",10.05210876
SSP2,World,2090,"Urban share
(%)",75.77669869125452
SSP2,World,2100,"GDP
(tn US$)",621.2021616047168
SSP2,World,2100,"GDP/cap
(000 US$)",62.839348788253574
SSP2,World,2100,"Population
(bn)",9.885560139999999
SSP2,World,2100,"Urban share
(%)",77.89641692125846
SSP2,Latin Am.,2020,"GDP
(tn US$)",8.013186228099999
SSP2,Latin Am.,2020,"GDP/cap
(000 US$)",12.409192452480543
SSP2,Latin Am.,2020,"Population
(bn)",0.645745987
SSP2,Latin Am.,2020,"Urban share
(%)",81.02245360496526
SSP2,Latin Am.,2025,"GDP
(tn US$)",9.58860962514
SSP2,Latin Am.,2025,"GDP/cap
(000 US$)",14.351569332997062
SSP2,Latin Am.,2025,"Population
(bn)",0.6681227260000001
SSP2,Latin Am.,2025,"Urban share
(%)",81.90240435744585
SSP2,Latin Am.,2030,"GDP
(tn US$)",10.85456199452898
SSP2,Latin Am.,2030,"GDP/cap
(000 US$)",15.717621884247201
SSP2,Latin Am.,2030,"Population
(bn)",0.6905982390000001
SSP2,Latin Am.,2030,"Urban share
(%)",82.77280830621984
SSP2,Latin Am.,2035,"GDP
(tn US$)",12.599934525690491
SSP2,Latin Am.,2035,"GDP/cap
(000 US$)",17.757628535323672
SSP2,Latin Am.,2035,"Population
(bn)",0.7095505179999999
SSP2,Latin Am.,2035,"Urban share
(%)",83.63624525357051
SSP2,Latin Am.,2040,"GDP
(tn US$)",14.48862161281509
SSP2,Latin Am.,2040,"GDP/cap
(000 US$)",19.999092836582037
SSP2,Latin Am.,2040,"Population
(bn)",0.724463941
SSP2,Latin Am.,2040,"Urban share
(%)",84.48973586410563
SSP2,Latin Am.,2045,"GDP
(tn US$)",16.79822549536387
SSP2,Latin Am.,2045,"GDP/cap
(000 US$)",22.851934162211208
SSP2,Latin Am.,2045,"Population
(bn)",0.735089878
SSP2,Latin Am.,2045,"Urban share
(%)",85.32809063360006
SSP2,Latin Am.,2050,"GDP
(tn US$)",19.259042097334767
SSP2,Latin Am.,2050,"GDP/cap
(000 US$)",25.964721468470906
SSP2,Latin Am.,2050,"Population
(bn)",0.7417388289999999
SSP2,Latin Am.,2050,"Urban share
(%)",86.14887714499844
SSP2,Latin Am.,2055,"GDP
(tn US$)",21.96719583554694
SSP2,Latin Am.,2055,"GDP/cap
(000 US$)",29.492459074280656
SSP2,Latin Am.,2055,"Population
(bn)",0.744841106
SSP2,Latin Am.,2055,"Urban share
(%)",86.94876862410035
SSP2,Latin Am.,2060,"GDP
(tn US$)",24.80612531784064
SSP2,Latin Am.,2060,"GDP/cap
(000 US$)",33.31112488907652
SSP2,Latin Am.,2060,"Population
(bn)",0.744679905
SSP2,Latin Am.,2060,"Urban share
(%)",87.72322484689309
SSP2,Latin Am.,2070,"GDP
(tn US$)",30.981277288253928
SSP2,Latin Am.,2070,"GDP/cap
(000 US$)",42.087035313628554
SSP2,Latin Am.,2070,"Population
(bn)",0.736124012
SSP2,Latin Am.,2070,"Urban share
(%)",89.17952720957973
SSP2,Latin Am.,2080,"GDP
(tn US$)",37.442362693172555
SSP2,Latin Am.,2080,"GDP/cap
(000 US$)",52.136979851527144
SSP2,Latin Am.,2080,"Population
(bn)",0.7181536559999999
SSP2,Latin Am.,2080,"Urban share
(%)",90.50642681066154
SSP2,Latin Am.,2090,"GDP
(tn US$)",43.833740251149955
SSP2,Latin Am.,2090,"GDP/cap
(000 US$)",63.1653223615879
SSP2,Latin Am.,2090,"Population
(bn)",0.6939526089999998
SSP2,Latin Am.,2090,"Urban share
(%)",91.69798263085282
SSP2,Latin Am.,2100,"GDP
(tn US$)",50.1014224873466
SSP2,Latin Am.,2100,"GDP/cap
(000 US$)",75.08534449115622
SSP2,Latin Am.,2100,"Population
(bn)",0.667259674
SSP2,Latin Am.,2100,"Urban share
(%)",92.7533705042469
SSP2,N. America,2020,"GDP
(tn US$)",19.967421148320003
SSP2,N. America,2020,"GDP/cap
(000 US$)",53.00675096253327
SSP2,N. America,2020,"Population
(bn)",0.376695813
SSP2,N. America,2020,"Urban share
(%)",82.69363959906822
SSP2,N. America,2025,"GDP
(tn US$)",22.7433588781
SSP2,N. America,2025,"GDP/cap
(000 US$)",59.22959031997456
SSP2,N. America,2025,"Population
(bn)",0.38398642899999996
SSP2,N. America,2025,"Urban share
(%)",83.71944530691214
SSP2,N. America,2030,"GDP
(tn US$)",24.88702930103318
SSP2,N. America,2030,"GDP/cap
(000 US$)",63.43450734349761
SSP2,N. America,2030,"Population
(bn)",0.392326359
SSP2,N. America,2030,"Urban share
(%)",84.73930759673478
SSP2,N. America,2035,"GDP
(tn US$)",26.92941999828547
SSP2,N. America,2035,"GDP/cap
(000 US$)",67.26371589355912
SSP2,N. America,2035,"Population
(bn)",0.4003558180000001
SSP2,N. America,2035,"Urban share
(%)",85.74648581986133
SSP2,N. America,2040,"GDP
(tn US$)",28.84053959837819
SSP2,N. America,2040,"GDP/cap
(000 US$)",70.68662719274305
SSP2,N. America,2040,"Population
(bn)",0.408005598
SSP2,N. America,2040,"Urban share
(%)",86.73711629756363
SSP2,N. America,2045,"GDP
(tn US$)",30.74892747695572
SSP2,N. America,2045,"GDP/cap
(000 US$)",74.08851265769943
SSP2,N. America,2045,"Population
(bn)",0.415029623
SSP2,N. America,2045,"Urban share
(%)",87.70317620595482
SSP2,N. America,2050,"GDP
(tn US$)",32.60448406020818
SSP2,N. America,2050,"GDP/cap
(000 US$)",77.31863518558723
SSP2,N. America,2050,"Population
(bn)",0.421689855
SSP2,N. America,2050,"Urban share
(%)",88.63951768493932
SSP2,N. America,2055,"GDP
(tn US$)",34.59940891090621
SSP2,N. America,2055,"GDP/cap
(000 US$)",80.95775301658355
SSP2,N. America,2055,"Population
(bn)",0.42737610199999987
SSP2,N. America,2055,"Urban share
(%)",89.54232603735997
SSP2,N. America,2060,"GDP
(tn US$)",36.5006251616424
SSP2,N. America,2060,"GDP/cap
(000 US$)",84.3242890405222
SSP2,N. America,2060,"Population
(bn)",0.432860159
SSP2,N. America,2060,"Urban share
(%)",90.40723203369242
SSP2,N. America,2070,"GDP
(tn US$)",40.59722339041899
SSP2,N. America,2070,"GDP/cap
(000 US$)",91.57757754271057
SSP2,N. America,2070,"Population
(bn)",0.443309645
SSP2,N. America,2070,"Urban share
(%)",92.00994173238666
SSP2,N. America,2080,"GDP
(tn US$)",44.50075158562983
SSP2,N. America,2080,"GDP/cap
(000 US$)",98.63703165912374
SSP2,N. America,2080,"Population
(bn)",0.451156638
SSP2,N. America,2080,"Urban share
(%)",93.42706804312829
SSP2,N. America,2090,"GDP
(tn US$)",48.19798356325939
SSP2,N. America,2090,"GDP/cap
(000 US$)",106.27665973235236
SSP2,N. America,2090,"Population
(bn)",0.453514287
SSP2,N. America,2090,"Urban share
(%)",94.65376252951872
SSP2,N. America,2100,"GDP
(tn US$)",51.70187581662514
SSP2,N. America,2100,"GDP/cap
(000 US$)",114.43514159099732
SSP2,N. America,2100,"Population
(bn)",0.451800689
SSP2,N. America,2100,"Urban share
(%)",95.69451629208783
SSP2,S. Asia,2020,"GDP
(tn US$)",10.85089264802
SSP2,S. Asia,2020,"GDP/cap
(000 US$)",5.797050173340033
SSP2,S. Asia,2020,"Population
(bn)",1.871795538
SSP2,S. Asia,2020,"Urban share
(%)",34.883209725334865
SSP2,S. Asia,2025,"GDP
(tn US$)",14.72547140144
SSP2,S. Asia,2025,"GDP/cap
(000 US$)",7.482172555005971
SSP2,S. Asia,2025,"Population
(bn)",1.968074285
SSP2,S. Asia,2025,"Urban share
(%)",37.930754775567834
SSP2,S. Asia,2030,"GDP
(tn US$)",19.25937576814371
SSP2,S. Asia,2030,"GDP/cap
(000 US$)",9.325940107612174
SSP2,S. Asia,2030,"Population
(bn)",2.065140409
SSP2,S. Asia,2030,"Urban share
(%)",40.935856365666126
SSP2,S. Asia,2035,"GDP
(tn US$)",24.586652421261512
SSP2,S. Asia,2035,"GDP/cap
(000 US$)",11.431944016227593
SSP2,S. Asia,2035,"Population
(bn)",2.150697413
SSP2,S. Asia,2035,"Urban share
(%)",43.86847844936847
SSP2,S. Asia,2040,"GDP
(tn US$)",30.097829593546912
SSP2,S. Asia,2040,"GDP/cap
(000 US$)",13.538200640567837
SSP2,S. Asia,2040,"Population
(bn)",2.2231779830000002
SSP2,S. Asia,2040,"Urban share
(%)",46.70236827836649
SSP2,S. Asia,2045,"GDP
(tn US$)",36.925343249259534
SSP2,S. Asia,2045,"GDP/cap
(000 US$)",16.186065696960952
SSP2,S. Asia,2045,"Population
(bn)",2.2813044220000003
SSP2,S. Asia,2045,"Urban share
(%)",49.418866967293326
SSP2,S. Asia,2050,"GDP
(tn US$)",43.42693877741797
SSP2,S. Asia,2050,"GDP/cap
(000 US$)",18.67413683135433
SSP2,S. Asia,2050,"Population
(bn)",2.3255125079999996
SSP2,S. Asia,2050,"Urban share
(%)",52.00759328973818
SSP2,S. Asia,2055,"GDP
(tn US$)",51.64599853112879
SSP2,S. Asia,2055,"GDP/cap
(000 US$)",21.896813434581283
SSP2,S. Asia,2055,"Population
(bn)",2.358607963
SSP2,S. Asia,2055,"Urban share
(%)",54.45997481376179
SSP2,S. Asia,2060,"GDP
(tn US$)",59.44448588407439
SSP2,S. Asia,2060,"GDP/cap
(000 US$)",24.96459278038395
SSP2,S. Asia,2060,"Population
(bn)",2.3811518339999997
SSP2,S. Asia,2060,"Urban share
(%)",56.77323652171271
SSP2,S. Asia,2070,"GDP
(tn US$)",77.85211099637965
SSP2,S. Asia,2070,"GDP/cap
(000 US$)",32.55635439594327
SSP2,S. Asia,2070,"Population
(bn)",2.391303094
SSP2,S. Asia,2070,"Urban share
(%)",60.98242252608779
SSP2,S. Asia,2080,"GDP
(tn US$)",96.97511713055401
SSP2,S. Asia,2080,"GDP/cap
(000 US$)",41.13628370385093
SSP2,S. Asia,2080,"Population
(bn)",2.357410743
SSP2,S. Asia,2080,"Urban share
(%)",64.66378734646922
SSP2,S. Asia,2090,"GDP
(tn US$)",116.1065025492138
SSP2,S. Asia,2090,"GDP/cap
(000 US$)",50.61986771428744
SSP2,S. Asia,2090,"Population
(bn)",2.29369431
SSP2,S. Asia,2090,"Urban share
(%)",67.87077440971242
SSP2,S. Asia,2100,"GDP
(tn US$)",135.447590069791
SSP2,S. Asia,2100,"GDP/cap
(000 US$)",61.12741838068449
SSP2,S. Asia,2100,"Population
(bn)",2.215823826
SSP2,S. Asia,2100,"Urban share
(%)",70.65739733140049
SSP2,Sub-Sahara,2020,"GDP
(tn US$)",3.7778508966200004
SSP2,Sub-Sahara,2020,"GDP/cap
(000 US$)",3.484128987294908
SSP2,Sub-Sahara,2020,"Population
(bn)",1.084302823
SSP2,Sub-Sahara,2020,"Urban share
(%)",41.849620064947494
SSP2,Sub-Sahara,2025,"GDP
(tn US$)",4.5780844881
SSP2,Sub-Sahara,2025,"GDP/cap
(000 US$)",3.724791062726496
SSP2,Sub-Sahara,2025,"Population
(bn)",1.22908491
SSP2,Sub-Sahara,2025,"Urban share
(%)",43.94535885287779
SSP2,Sub-Sahara,2030,"GDP
(tn US$)",5.743881135182241
SSP2,Sub-Sahara,2030,"GDP/cap
(000 US$)",4.149738682449849
SSP2,Sub-Sahara,2030,"Population
(bn)",1.384154901
SSP2,Sub-Sahara,2030,"Urban share
(%)",46.05993810931136
SSP2,Sub-Sahara,2035,"GDP
(tn US$)",7.269016685404732
SSP2,Sub-Sahara,2035,"GDP/cap
(000 US$)",4.701579306282286
SSP2,Sub-Sahara,2035,"Population
(bn)",1.5460797769999999
SSP2,Sub-Sahara,2035,"Urban share
(%)",48.17895200435637
SSP2,Sub-Sahara,2040,"GDP
(tn US$)",9.313086709706123
SSP2,Sub-Sahara,2040,"GDP/cap
(000 US$)",5.438543960682408
SSP2,Sub-Sahara,2040,"Population
(bn)",1.712422806
SSP2,Sub-Sahara,2040,"Urban share
(%)",50.29320016606109
SSP2,Sub-Sahara,2045,"GDP
(tn US$)",11.72556583099003
SSP2,Sub-Sahara,2045,"GDP/cap
(000 US$)",6.236001526770756
SSP2,Sub-Sahara,2045,"Population
(bn)",1.88030195
SSP2,Sub-Sahara,2045,"Urban share
(%)",52.3867243476448
SSP2,Sub-Sahara,2050,"GDP
(tn US$)",14.852720128297069
SSP2,Sub-Sahara,2050,"GDP/cap
(000 US$)",7.256887956792483
SSP2,Sub-Sahara,2050,"Population
(bn)",2.0467065520000003
SSP2,Sub-Sahara,2050,"Urban share
(%)",54.44255466159176
SSP2,Sub-Sahara,2055,"GDP
(tn US$)",18.656787453242742
SSP2,Sub-Sahara,2055,"GDP/cap
(000 US$)",8.452030250851184
SSP2,Sub-Sahara,2055,"Population
(bn)",2.207373483
SSP2,Sub-Sahara,2055,"Urban share
(%)",56.45234607582672
SSP2,Sub-Sahara,2060,"GDP
(tn US$)",23.23947057794829
SSP2,Sub-Sahara,2060,"GDP/cap
(000 US$)",9.845207681805553
SSP2,Sub-Sahara,2060,"Population
(bn)",2.360485561
SSP2,Sub-Sahara,2060,"Urban share
(%)",58.40901199921511
SSP2,Sub-Sahara,2070,"GDP
(tn US$)",35.427071758218
SSP2,Sub-Sahara,2070,"GDP/cap
(000 US$)",13.447418570905201
SSP2,Sub-Sahara,2070,"Population
(bn)",2.6344886620000003
SSP2,Sub-Sahara,2070,"Urban share
(%)",62.15552348576172
SSP2,Sub-Sahara,2080,"GDP
(tn US$)",51.902911754387134
SSP2,Sub-Sahara,2080,"GDP/cap
(000 US$)",18.181856865004157
SSP2,Sub-Sahara,2080,"Population
(bn)",2.8546540730000003
SSP2,Sub-Sahara,2080,"Urban share
(%)",65.64910292797147
SSP2,Sub-Sahara,2090,"GDP
(tn US$)",73.24186814516993
SSP2,Sub-Sahara,2090,"GDP/cap
(000 US$)",24.317505057940238
SSP2,Sub-Sahara,2090,"Population
(bn)",3.011898958
SSP2,Sub-Sahara,2090,"Urban share
(%)",68.8544858772935
SSP2,Sub-Sahara,2100,"GDP
(tn US$)",99.75669607731152
SSP2,Sub-Sahara,2100,"GDP/cap
(000 US$)",32.12552090561511
SSP2,Sub-Sahara,2100,"Population
(bn)",3.105216453
SSP2,Sub-Sahara,2100,"Urban share
(%)",71.769118633309
SSP2,W. Europe,2020,"GDP
(tn US$)",17.22165493292
SSP2,W. Europe,2020,"GDP/cap
(000 US$)",33.93863382827778
SSP2,W. Europe,2020,"Population
(bn)",0.5074351260000001
SSP2,W. Europe,2020,"Urban share
(%)",78.86846633198981
SSP2,W. Europe,2025,"GDP
(tn US$)",19.826374829600002
SSP2,W. Europe,2025,"GDP/cap
(000 US$)",38.62120884046251
SSP2,W. Europe,2025,"Population
(bn)",0.5133545899999999
SSP2,W. Europe,2025,"Urban share
(%)",80.09303009470901
SSP2,W. Europe,2030,"GDP
(tn US$)",21.52947855513738
SSP2,W. Europe,2030,"GDP/cap
(000 US$)",41.61043961896488
SSP2,W. Europe,2030,"Population
(bn)",0.517405698
SSP2,W. Europe,2030,"Urban share
(%)",81.26894149024429
SSP2,W. Europe,2035,"GDP
(tn US$)",23.47568449330363
SSP2,W. Europe,2035,"GDP/cap
(000 US$)",45.048268658328176
SSP2,W. Europe,2035,"Population
(bn)",0.5211229020000001
SSP2,W. Europe,2035,"Urban share
(%)",82.3937219150541
SSP2,W. Europe,2040,"GDP
(tn US$)",25.33366129149331
SSP2,W. Europe,2040,"GDP/cap
(000 US$)",48.277873170325435
SSP2,W. Europe,2040,"Population
(bn)",0.524746838
SSP2,W. Europe,2040,"Urban share
(%)",83.46896613353198
SSP2,W. Europe,2045,"GDP
(tn US$)",27.323083679253102
SSP2,W. Europe,2045,"GDP/cap
(000 US$)",51.73735286195664
SSP2,W. Europe,2045,"Population
(bn)",0.5281113579999999
SSP2,W. Europe,2045,"Urban share
(%)",84.49752221358776
SSP2,W. Europe,2050,"GDP
(tn US$)",29.35264638419345
SSP2,W. Europe,2050,"GDP/cap
(000 US$)",55.272512775161836
SSP2,W. Europe,2050,"Population
(bn)",0.5310532290000001
SSP2,W. Europe,2050,"Urban share
(%)",85.48266700089117
SSP2,W. Europe,2055,"GDP
(tn US$)",31.360297230381182
SSP2,W. Europe,2055,"GDP/cap
(000 US$)",58.90673625726794
SSP2,W. Europe,2055,"Population
(bn)",0.5323720039999998
SSP2,W. Europe,2055,"Urban share
(%)",86.42304139028882
SSP2,W. Europe,2060,"GDP
(tn US$)",33.33992896883767
SSP2,W. Europe,2060,"GDP/cap
(000 US$)",62.63373894565254
SSP2,W. Europe,2060,"Population
(bn)",0.5322998360000002
SSP2,W. Europe,2060,"Urban share
(%)",87.32030511802
SSP2,W. Europe,2070,"GDP
(tn US$)",37.1624932990646
SSP2,W. Europe,2070,"GDP/cap
(000 US$)",70.17362179655042
SSP2,W. Europe,2070,"Population
(bn)",0.5295792399999999
SSP2,W. Europe,2070,"Urban share
(%)",88.98468170618999
SSP2,W. Europe,2080,"GDP
(tn US$)",40.49274234199774
SSP2,W. Europe,2080,"GDP/cap
(000 US$)",76.98106940512507
SSP2,W. Europe,2080,"Population
(bn)",0.5260090909999999
SSP2,W. Europe,2080,"Urban share
(%)",90.46597244529183
SSP2,W. Europe,2090,"GDP
(tn US$)",43.30030824871126
SSP2,W. Europe,2090,"GDP/cap
(000 US$)",83.26969592839154
SSP2,W. Europe,2090,"Population
(bn)",0.520000797
SSP2,W. Europe,2090,"Urban share
(%)",91.76487017274899
SSP2,W. Europe,2100,"GDP
(tn US$)",45.58030009909633
SSP2,W. Europe,2100,"GDP/cap
(000 US$)",89.24190897190667
SSP2,W. Europe,2100,"Population
(bn)",0.5107499449999999
SSP2,W. Europe,2100,"Urban share
(%)",92.90022016057975
