model,scenario_set,variant,region,variable,unit,year,value,state,principle,start,src,ratio,grp,lab,ypos
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,CHN,Price|Carbon,US$2010/t CO2,2030,144.4481078978312,Lowest-f. (L),ECPC,1990,38.00703055169213,3.800562838008931,Higher resp.,ECPC 1990,7.15
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,EEU,Price|Carbon,US$2010/t CO2,2030,144.4481078978313,Lowest-f. (L),ECPC,1990,38.00703055169213,3.800562838008934,Higher resp.,ECPC 1990,7.15
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,FSU,Price|Carbon,US$2010/t CO2,2030,144.4481078978312,Lowest-f. (L),ECPC,1990,38.00703055169213,3.800562838008931,Higher resp.,ECPC 1990,7.15
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,LAM,Price|Carbon,US$2010/t CO2,2030,37.01566210962856,Lowest-f. (L),ECPC,1990,38.00703055169213,0.9739161826726966,Lower resp.,ECPC 1990,6.85
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,MEA,Price|Carbon,US$2010/t CO2,2030,54.46516567082694,Lowest-f. (L),ECPC,1990,38.00703055169213,1.4330287023278663,Higher resp.,ECPC 1990,7.15
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,NAM,Price|Carbon,US$2010/t CO2,2030,144.4481078978312,Lowest-f. (L),ECPC,1990,38.00703055169213,3.800562838008931,Higher resp.,ECPC 1990,7.15
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,PAS,Price|Carbon,US$2010/t CO2,2030,26.8903765398553,Lowest-f. (L),ECPC,1990,38.00703055169213,0.7075105881603292,Lower resp.,ECPC 1990,6.85
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,PAO,Price|Carbon,US$2010/t CO2,2030,144.4481078978312,Lowest-f. (L),ECPC,1990,38.00703055169213,3.800562838008931,Higher resp.,ECPC 1990,7.15
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,RCPA,Price|Carbon,US$2010/t CO2,2030,36.94563886863676,Lowest-f. (L),ECPC,1990,38.00703055169213,0.9720738066707999,Higher resp.,ECPC 1990,7.15
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,SAS,Price|Carbon,US$2010/t CO2,2030,15.34292232535042,Lowest-f. (L),ECPC,1990,38.00703055169213,0.40368642597539967,Lower resp.,ECPC 1990,6.85
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,AFR,Price|Carbon,US$2010/t CO2,2030,15.34292232535043,Lowest-f. (L),ECPC,1990,38.00703055169213,0.40368642597539994,Lower resp.,ECPC 1990,6.85
SSP_SSP2_v6.5_ES,800fm_ecpc1990,L. SSP2-2C-ECPC1990,WEU,Price|Carbon,US$2010/t CO2,2030,144.4481078978312,Lowest-f. (L),ECPC,1990,38.00703055169213,3.800562838008931,Higher resp.,ECPC 1990,7.15
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,CHN,Price|Carbon,US$2010/t CO2,2030,56.12206928968542,Lowest-f. (L),ECPC,2015,38.00703055169213,1.476623363494699,Higher resp.,ECPC 2015,5.15
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,EEU,Price|Carbon,US$2010/t CO2,2030,56.12206928968542,Lowest-f. (L),ECPC,2015,38.00703055169213,1.476623363494699,Higher resp.,ECPC 2015,5.15
