principle,start,state,co2,src,dco2,paid,lab
CAPC,1990,Unlimited (U),555.8737766391193,555.3453171170521,0.5284595220672372,40.36160486018883,CAPC 1990
CAPC,1990,Lowest-f. (L),348.5470480334113,555.3453171170521,-206.79826908364083,12.182976990479398,CAPC 1990
CAPC,2015,Unlimited (U),555.6393520521112,555.3453171170521,0.2940349350591305,25.58083399130532,CAPC 2015
CAPC,2015,Lowest-f. (L),285.49701145421955,555.3453171170521,-269.84830566283256,3.1574002695116477,CAPC 2015
CAPC,2025,Unlimited (U),555.5115058851484,555.3453171170521,0.16618876809627636,17.603360267250107,CAPC 2025
CAPC,2025,Lowest-f. (L),348.19738858050727,555.3453171170521,-207.14792853654484,1.9572368841674894,CAPC 2025
ECPC,1990,Unlimited (U),555.3281152239691,555.3453171170521,-0.017201893082983588,24.78511984534402,ECPC 1990
ECPC,1990,Lowest-f. (L),318.52597840929565,555.3453171170521,-236.81933870775646,6.293012861759719,ECPC 1990
ECPC,2015,Unlimited (U),555.5159557097894,555.3453171170521,0.17063859273730486,14.764029155817854,ECPC 2015
ECPC,2015,Lowest-f. (L),432.5589090668225,555.3453171170521,-122.78640805022962,6.311804668125026,ECPC 2015
ECPC,2015*,Unlimited (U),555.2250780141269,555.3453171170521,-0.12023910292521123,14.780529244810788,ECPC 2015*
ECPC,2015*,Lowest-f. (L),367.00148646858753,555.3453171170521,-188.34383064846458,3.545635939587478,ECPC 2015*
ECPC,2025,Unlimited (U),555.2850703415122,555.3453171170521,-0.06024677553989477,9.805593327548152,ECPC 2025
ECPC,2025,Lowest-f. (L),409.46625438760867,555.3453171170521,-145.87906272944343,2.0468051647642063,ECPC 2025
