variant,region,year,v,panel,gt,scope,tier
U. SSP2-2C-ECPC2015-CDR,World,2040,350.4927659375833,World,0.3504927659375833,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,World,2045,912.6999095123928,World,0.9126999095123928,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,World,2050,1756.2405352072233,World,1.7562405352072232,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,World,2055,3114.431846911234,World,3.114431846911234,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,World,2060,5084.120953260022,World,5.0841209532600224,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,World,2070,5435.802206152875,World,5.435802206152875,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,World,2080,5502.057070974952,World,5.502057070974952,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,World,2090,5687.258120215078,World,5.687258120215078,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,World,2100,5800.44238476268,World,5.800442384762681,FS-Lf.Trnsf-CDR,Unlimited
L. SSP2-2C-ECPC2015,NA,2030,20.568682413599408,Higher resp.,0.02056868241359941,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2035,53.128107949588824,Higher resp.,0.053128107949588825,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2040,113.84660931028561,Higher resp.,0.11384660931028562,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2045,222.69412504877306,Higher resp.,0.22269412504877306,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2050,412.02354054550983,Higher resp.,0.4120235405455098,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2055,674.7738452449951,Higher resp.,0.6747738452449951,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2060,1069.821030284094,Higher resp.,1.069821030284094,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2070,2337.8601640472543,Higher resp.,2.3378601640472545,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2080,2989.8023900035478,Higher resp.,2.9898023900035477,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2090,3586.8484949397725,Higher resp.,3.5868484949397725,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2100,4663.840037973144,Higher resp.,4.663840037973144,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2030,12.662027112104884,Lower resp.,0.012662027112104884,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2035,33.567568205050165,Lower resp.,0.03356756820505016,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2040,72.5829426821332,Lower resp.,0.0725829426821332,FS-Lf.Trnsf-ALL,Lowest-f.
