region,lever,scope,delta,contrib,xpos
SAS,Novel CDR,ALL,-1.5262167802712892,1.5262167802712892,10.81
SAS,Novel CDR,CDR,1.2848482447242242,-1.2848482447242242,11.19
WEU,CCS,ALL,-1.8521675170860143,1.8521675170860143,1.81
WEU,CCS,CDR,-1.1706636519758873,1.1706636519758873,2.19
WEU,Conventional CDR,ALL,-0.27462924246211706,0.27462924246211706,1.81
WEU,Conventional CDR,CDR,0.28340673296204244,-0.28340673296204244,2.19
WEU,Gross emissions,ALL,-11.056976867228556,-11.056976867228556,1.81
WEU,Gross emissions,CDR,-22.691190300533286,-22.691190300533286,2.19
WEU,Novel CDR,ALL,1.730749159355108,-1.730749159355108,1.81
WEU,Novel CDR,CDR,1.4445456633558678,-1.4445456633558678,2.19
